GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH,EVENT_AREA
7.080480099999999943e+00,3.512800200000000039e+00,2.487603700000000195e+00,1.000000000000000000e+00,3.074146341463414589e-01,4.071430476190485842e-02,7.898562221428571206e+01,1.129944153564938769e-01,-4.904673247251972734e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.373503555305638349e-02
5.395023300000000077e+00,4.440648999999999624e+00,2.956835499999999950e+00,3.000000000000000000e+00,5.574545454545455359e-01,6.199999130434790534e-02,8.508165504347826413e+01,1.355360679417227932e-01,-4.245492791367105195e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.728020445590674720e-02
1.431043400000000035e-02,8.231213699999999633e-01,3.199924900000000072e+00,3.000000000000000000e+00,1.279222222222222483e+00,4.107000699999999727e-01,9.695350949999999557e+01,2.797475686047563512e-02,-1.162283936743764047e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.015929913005531704e-01
5.481626999999999583e+00,3.585556500000000035e+00,7.721779899999999808e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.221653899999999737e+00,2.634603099999999753e-01,2.972409999999999997e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.292743700000000828e+00,2.078797799999999807e+00,1.351355300000000037e+00,1.000000000000000000e+00,1.711599999999999788e-01,3.867100789473670863e-02,6.735883625921053408e+01,7.808297357931713589e-02,-5.183554620600495932e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.169720976858425035e-02
5.620981699999999748e+00,2.527337800000000190e+00,1.841170100000000032e+00,1.000000000000000000e+00,2.411132075471698055e-01,4.866665370370376609e-02,7.565350275925926837e+01,8.839921089970728674e-02,-3.721116633880020702e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.723240837090625671e-02
1.090650799999999920e+00,2.904954000000000036e+00,2.241674199999999839e+00,3.000000000000000000e+00,1.842200000000000060e+00,5.593334333333334074e-01,9.156936383333334106e+01,9.199053214258244571e-02,-2.988694128311742901e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.729751499193840192e-01
3.496357000000000159e+00,1.595814499999999914e+00,1.943441800000000053e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.623238999999999876e+00,2.765926599999999791e+00,3.458761500000000044e+00,3.000000000000000000e+00,6.726666666666667460e-01,8.663156842105287914e-02,8.325080521052629479e+01,8.982128043002812756e-02,-2.793481576109157344e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.164516481045764579e-02
8.531354000000000326e+00,1.011091699999999927e+00,4.728016900000000078e+00,3.000000000000000000e+00,4.404137931034483033e-01,1.477667133333335214e-01,3.194879006666667109e+01,1.232259210790680529e-02,-2.342456645163087589e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.643262655860423083e-02
3.641514499999999988e+00,4.307945700000000322e+00,1.054776300000000111e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.918335000000000790e+00,3.724041599999999841e-01,3.912287500000000140e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.426343899999999998e+00,4.024799800000000261e+00,9.225019800000000547e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.994524999999999437e+00,4.019547900000000062e+00,2.466343199999999847e+00,1.000000000000000000e+00,2.782000000000000584e-01,3.504349347826089811e-02,7.941018932608696446e+01,1.265146426092013665e-01,-5.822338892510638131e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.056582663098640087e-02
2.157146700000000195e+00,1.949802199999999930e+00,3.330135799999999868e+00,3.000000000000000000e+00,5.853809523809523352e-01,9.686363636363636009e-02,7.917755222727271303e+01,6.681824316427334431e-02,-1.915818195716557579e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.407335133174295816e-02
9.604605700000000468e+00,3.381535500000000027e+00,3.576708099999999835e+00,1.000000000000000000e+00,3.855454545454545801e-01,3.229412352941169601e-02,7.391124653235294772e+01,1.046329214666534696e-01,-6.327697817793874469e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.898847984293482866e-02
4.894006700000000265e+00,4.510417499999999968e+00,1.573142299999999993e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.196899699999999900e+00,3.837784099999999921e+00,1.001880000000000104e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.941427000000000014e+00,6.344132999999999578e-01,4.998829800000000212e+00,3.000000000000000000e+00,5.251666666666666705e-01,1.676800040000000491e-01,3.157259808000000234e+01,1.195700346526124176e-02,-1.640568989827661736e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.787787207964634972e-02
5.044579500000000216e+00,3.329985600000000101e+00,2.643565699999999907e+00,3.000000000000000000e+00,4.014193548387096078e-01,5.343755312500013399e-02,8.106114853125001218e+01,1.077832216437625834e-01,-3.843251851676690589e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.112602023688350317e-02
2.110578299999999796e+00,4.068703699999999812e-01,3.685246699999999986e+00,1.000000000000000000e+00,5.784761904761905882e-01,2.869090954545454597e-01,1.656966922727272973e+01,7.289376667245651281e-03,-7.658292105377321156e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.634156616452532296e-01
7.871518599999999921e+00,1.417036900000000044e+00,1.093564900000000062e+00,1.000000000000000000e+00,1.782777777777777573e-01,4.953426575342463611e-02,5.931322674383561377e+01,5.553934352497211929e-02,-4.461250156812243683e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.761321305511865026e-02
4.984705899999999801e+00,4.475904500000000397e+00,3.836236500000000049e+00,3.000000000000000000e+00,6.842777777777777626e-01,5.463158947368420421e-02,8.487697773684210745e+01,1.337999398963916065e-01,-4.979719804280746676e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.394240119129963290e-02
3.551585400000000003e+00,1.064966899999999939e+00,2.650362600000000235e-01,3.000000000000000000e+00,1.289393939393939370e-01,6.273999299999991064e-02,5.312576307300000167e+01,5.667484923721929219e-02,-3.025173739944408968e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.347075718670081135e-02
2.020160400000000078e-01,1.859870799999999935e+00,3.192935199999999973e+00,3.000000000000000000e+00,1.157899999999999929e+00,2.406364454545455445e-01,9.347416709090909137e+01,5.978481387216681014e-02,-2.360246195508762523e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.742417753927612556e-01
1.650109400000000059e+00,1.783693600000000101e+00,3.254108000000000001e+00,3.000000000000000000e+00,7.373750000000000027e-01,1.420587529411767580e-01,8.115512800000000482e+01,6.124833785800196106e-02,-1.596646736431445515e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.037832499909972062e-02
2.021057400000000115e+00,4.125247500000000400e+00,1.783111899999999972e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.593708999999999598e+00,3.759625699999999959e+00,2.314244500000000038e+00,3.000000000000000000e+00,3.675428571428571711e-01,5.455556944444438228e-02,8.251922769444445294e+01,1.201812480277960477e-01,-3.918762938161560183e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.182790792204717722e-02
