GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH
2.432102400000000220e+00,3.237804699999999869e+00,2.386529900000000204e+00,3.000000000000000000e+00,1.365428557142857047e+00,3.143334222222218810e-01,9.997143895822754311e-01,1.031962614650464571e-01,-3.179879097252358289e-02,1.000000000000000000e+00,0.000000000000000000e+00
6.115900500000000406e+00,2.481559299999999801e+00,3.166073599999999821e+00,1.000000000000000000e+00,3.543999999999999928e-01,4.224327027027021536e-02,9.993935291449839164e-01,8.134669292652571548e-02,-4.485205514176038993e-02,1.000000000000000000e+00,0.000000000000000000e+00
6.888490199999999675e+00,2.106835799999999814e+00,2.468725000000000058e+00,1.000000000000000000e+00,2.636666645833333766e-01,4.349997800000009185e-02,9.992773883821446379e-01,7.141756560076276128e-02,-4.553605525019016609e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.265371299999999977e+00,3.677570300000000181e+00,3.055230400000000124e+00,1.000000000000000000e+00,4.688076884615384743e-01,4.957144999999969076e-02,9.993386435186303318e-01,1.161063190169560055e-01,-4.298183976609085827e-02,1.000000000000000000e+00,0.000000000000000000e+00
9.348213200000000001e+00,1.988603200000000015e+00,2.832156400000000129e+00,1.000000000000000000e+00,2.672127659574468073e-01,3.883669387755105812e-02,9.992058237487814187e-01,6.239195506965705684e-02,-5.470449399975931687e-02,1.000000000000000000e+00,0.000000000000000000e+00
6.669627700000000381e+00,2.015427600000000208e+00,9.790025399999999767e-01,1.000000000000000000e+00,1.630389597402597257e-01,4.467087468354438012e-02,9.990159304456754930e-01,8.108389184609869627e-02,-3.890522422360433163e-02,1.000000000000000000e+00,0.000000000000000000e+00
6.052973299999999668e+00,3.436584900000000165e+00,2.243637099999999940e+00,1.000000000000000000e+00,3.079999974999999557e-01,4.242857142857142660e-02,9.998386521408491046e-01,1.120632495815455237e-01,-4.223251048533099156e-02,1.000000000000000000e+00,0.000000000000000000e+00
2.951732199999999917e+00,3.066770699999999961e-01,1.449259499999999923e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.236582499999999918e+00,4.831994100000000181e+00,1.839280199999999921e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.569419400000000131e+00,2.799153299999999955e+00,1.747352800000000039e+00,1.000000000000000000e+00,6.760555611111110919e-01,-2.912000649999999524e-01,8.780376522463093636e-01,6.457810920371503949e-02,-1.728997620690961995e-02,1.000000000000000000e+00,1.489320601406404765e-02
7.937299699999999625e+00,8.704889399999999888e-01,2.878240799999999933e+00,3.000000000000000000e+00,3.187692307692308047e-01,6.880487317073173681e-02,9.807927142536304599e-01,1.331455710869033394e-02,-2.163410315808666010e-02,1.000000000000000000e+00,0.000000000000000000e+00
5.113600700000000110e+00,4.948768600000000184e+00,1.924173700000000098e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
